vi,ctrl,sx,sy,cx,cy,btns,value
3080,0,0,0,-20,0,0,00000000
3085,0,0,0,-19,0,0,00000000
3089,0,0,0,-18,0,0,00000000
3092,0,0,0,-17,0,0,00000000
3097,0,0,0,-16,0,0,00000000
3101,0,0,0,-15,0,0,00000000
3106,0,0,0,-14,0,0,00000000
3108,0,0,0,-13,0,0,00000000
3112,0,0,0,-12,0,0,00000000
3116,0,0,0,-11,0,0,00000000
3120,0,0,0,-10,0,0,00000000
3124,0,0,0,-9,0,0,00000000
3128,0,0,0,-8,0,0,00000000
3132,0,0,0,-7,0,0,00000000
3137,0,0,0,-6,0,0,00000000
3140,0,0,0,-5,0,0,00000000
3144,0,0,0,-4,0,0,00000000
3149,0,0,0,-3,0,0,00000000
3153,0,0,0,-2,0,0,00000000
3158,0,0,0,-1,0,0,00000000
3160,0,0,0,0,0,0,00000000
3164,0,0,0,1,0,0,00000000
3169,0,0,0,2,0,0,00000000
3174,0,0,0,3,0,0,00000000
3177,0,0,0,4,0,0,00000000
3180,0,0,0,5,0,0,00000000
3184,0,0,0,6,0,0,00000000
3189,0,0,0,7,0,0,00000000
3193,0,0,0,8,0,0,00000000
3197,0,0,0,9,0,0,00000000
3200,0,0,0,10,0,0,00000000
3204,0,0,0,11,0,0,00000000
3208,0,0,0,12,0,0,00000000
3214,0,0,0,13,0,0,00000000
3217,0,0,0,14,0,0,00000000
3220,0,0,0,15,0,0,00000000
3226,0,0,0,16,0,0,00000000
3228,0,0,0,17,0,0,00000000
3233,0,0,0,18,0,0,00000000
3237,0,0,0,19,0,0,00000000
3241,0,0,0,20,0,0,00000000
3245,0,0,0,21,0,0,00000000
3249,0,0,0,22,0,0,00000000
3253,0,0,0,23,0,0,00000000
3257,0,0,0,24,0,0,00000000
3261,0,0,0,25,0,0,00000000
3265,0,0,0,26,0,0,00000000
3269,0,0,0,27,0,0,00000000
3273,0,0,0,28,0,0,00000000
3277,0,0,0,29,0,0,00000000
3281,0,0,0,30,0,0,00000000
3285,0,0,0,31,0,0,00000000
3289,0,0,0,32,0,0,00000000
3293,0,0,0,33,0,0,00000000
3297,0,0,0,34,0,0,00000000
3301,0,0,0,35,0,0,00000000
3304,0,0,0,36,0,0,00000000
3308,0,0,0,37,0,0,00000000
3312,0,0,0,38,0,0,00000000
3318,0,0,0,39,0,0,00000000
3320,0,0,0,40,0,0,00000000
3325,0,0,0,41,0,0,00000000
3328,0,0,0,42,0,0,00000000
3332,0,0,0,43,0,0,00000000
3337,0,0,0,44,0,0,00000000
3341,0,0,0,45,0,0,00000000
3344,0,0,0,46,0,0,00000000
3349,0,0,0,47,0,0,00000000
3353,0,0,0,48,0,0,00000000
3356,0,0,0,49,0,0,00010000
3361,0,0,0,50,0,0,00010000
3365,0,0,0,51,0,0,00010000
3369,0,0,0,52,0,0,00010000
3373,0,0,0,53,0,0,00010000
3378,0,0,0,54,0,0,00010000
